Content-Type: text/x-zim-wiki
Wiki-Format: zim 0.4
Creation-Date: 2018-10-09T14:11:49+03:00

====== сборная солянка ======
Created Tuesday 09 October 2018

 сортировка станций/систем по удаленности от LHS 3447
 McKee Ring	 GD 219	Federation	L	938 ls	14 hours	16.39 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kekule Orbital	 LTT 15899	Independent	L	12,375 ls	15 hours	23.08 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Kaleri Gateway	 Clayakarma	Independent	L	445 ls	11 hours	23.14 ly
 Roentgen Gateway	 Clayakarma	Federation	L	575 ls	1 day	23.14 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Boltzmann Gateway	 LTT 7548	Independent	L	1,005 ls	10 hours	23.61 ly
 Alexandria Ring	 LTT 7548	Federation	M	1,664 ls	4 days	23.61 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Citroen Hub	 Neto	Federation	M	891 ls	2 days	23.77 ly
 Ising Vision	 Neto	Independent	L	662 ls	7 hours	23.77 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Chapman Terminal	 LP 694-16	Federation	L	359 ls	4 days	24.00 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Thompson Vision	 GAT 2	Independent	L	20,193 ls	8 days	24.46 ly
 Swigert Port	 Chowei	Federation	L	57 ls	5 hours	24.51 ly
 Swigert Port	 Chowei	Federation	L	57 ls	5 hours	24.51 ly
 Swigert Port	 Chowei	Federation	L	57 ls	5 hours	24.51 ly
 Swigert Port	 Chowei	Federation	L	57 ls	5 hours	24.51 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Julian Gateway	 Malloc	Federation	L	2,094 ls	2 days	24.85 ly
 Raleigh Orbital	 Ross 720	Federation	L	7 ls	3 hours	25.62 ly
 Raleigh Orbital	 Ross 720	Federation	L	7 ls	3 hours	25.62 ly
 Raleigh Orbital	 Ross 720	Federation	L	7 ls	3 hours	25.62 ly
 Raleigh Orbital	 Ross 720	Federation	L	7 ls	3 hours	25.62 ly
 Fawcett Gateway	 Ongkampan	Federation	L	359 ls	3 days	25.71 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	6 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	4 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	11 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	11 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	9 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	3 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	13 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	13 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	2 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	15 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	4 mins	26.37 ly
 Vonarburg Port	 Maridal	Independent	L	505 ls	5 mins	26.37 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	6 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	7 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	6 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	6 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	7 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	6 hours	27.13 ly
 Jenner Hub	 Zaragas	Federation	L	1,523 ls	6 hours	27.13 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Filipchenko City	 G 139-50	Independent	L	7 ls	4 hours	29.82 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Bose Orbital	 51 Aquilae	Independent	L	32,441 ls	3 days	29.90 ly
 Andreas Hub	 StHA 181	Federation	L	813 ls	4 days	31.14 ly
 Andreas Hub	 StHA 181	Federation	L	813 ls	4 days	31.14 ly
 Andreas Hub	 StHA 181	Federation	L	813 ls	4 days	31.14 ly
 Bounds Hub	 Hrisastshi	Independent	L	19,641 ls	2 days	32.04 ly
 Bounds Hub	 Hrisastshi	Independent	L	19,641 ls	2 days	32.04 ly
 Bounds Hub	 Hrisastshi	Independent	L	19,641 ls	2 days	32.04 ly
 Bounds Hub	 Hrisastshi	Independent	L	19,641 ls	2 days	32.04 ly
 Bounds Hub	 Hrisastshi	Independent	L	19,641 ls	2 days	32.04 ly
 Harbaugh Gateway	 Wolf 867	Federation	M	478 ls	4 days	32.41 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	18 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	18 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	18 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	18 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	18 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Benyovszky Ring	 HR 7793	Independent	L	3,653 ls	17 hours	32.43 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Oblivion	 Nuakea	Federation	L	1,056 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Oblivion	 Nuakea	Federation	L	1,056 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Oblivion	 Nuakea	Federation	L	1,056 ls	14 hours	32.62 ly
 Oblivion	 Nuakea	Federation	L	1,056 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Admiral Thirsk	 Nuakea	Federation	L	1,051 ls	14 hours	32.62 ly
 Oblivion	 Nuakea	Federation	L	1,056 ls	14 hours	32.62 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Froude Enterprise	 LHS 3564	Federation	L	89 ls	2 hours	32.74 ly
 Tarelkin City	 Ross 163	Federation	L	667 ls	1 day	33.33 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Cavalieri Station	 LAWD 80	Federation	L	5,115 ls	17 hours	33.68 ly
 Kube-McDowell Enterprise	 Kakas	Federation	L	108 ls	15 hours	36.09 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Lubin Orbital	 Mokosh	Federation	L	1,004 ls	2 days	36.49 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bulleid Orbital	 HR 7386	Federation	L	2,007 ls	6 hours	36.73 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Bisson Hub	 Delta Equulei	Independent	L	1,711 ls	4 days	36.95 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	6 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	3 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	4 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	3 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	3 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	7 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	6 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	2 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	8 mins	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	4 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Herbert Dock	 Wolf 906	Federation	L	504 ls	5 mins	37.35 ly
 Cleve Vision	 Fusang	Federation	L	1,440 ls	10 hours	37.35 ly
 Andreas Ring	 Kalumar	Federation	L	388 ls	2 hours	37.40 ly
 Andreas Ring	 Kalumar	Federation	L	388 ls	2 hours	37.40 ly
 Andreas Ring	 Kalumar	Federation	L	388 ls	2 hours	37.40 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Bass Port	 Wailladyan	Federation	L	11,088 ls	4 days	37.41 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Sternberg Ring	 Grabrigpa	Independent	L	51 ls	20 hours	37.69 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Ali Ring	 Kokojina	Federation	L	598 ls	3 hours	37.97 ly
 Birkeland Enterprise	 Ross 718	Federation	L	4,487 ls	38 days	38.06 ly
 Birkeland Enterprise	 Ross 718	Federation	L	4,487 ls	38 days	38.06 ly
 Sullivan Orbital	 Ross 718	Independent	M	389 ls	38 days	38.06 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
 de Andrade Dock	 V2213 Ophiuchii	Independent	L	2,622 ls	16 hours	38.10 ly
